PROGRAM,CODE,COURSE,UNIT,TYPE,PREREQUISITE,LEVEL,SEMESTER
"ACT,BSIS",CC-IC113,"INTRODUCTION TO COMPUTING",3,TECH_SKILL,,1,1
"ACT,BSIS",CC-CP1113,"COMPUTER PROGRAMMING 1 (FUNDAMENTALS OF PROGRAMMING)",3,TECH_SKILL,,1,1
"ACT,BSIS",IS-PQS113,"PROFESSIONAL ETHICS, QUALITY CONCIOUSNESS AND SOCIAL ISSUES IN COMPUTING",3,TECH_SKILL,,1,1
"ACT,BSIS",GE-MMW113,"MATHEMATICS IN THE MODERN WORLD",3,GEN_ED,,1,1
"ACT,BSIS",GE-PCOM113,"PURPOSIVE COMMUNICATION",3,GEN_ED,,1,1
"ACT,BSIS",GE-UNO113,"UNDERSTANDING ONESELF",3,GEN_ED,,1,1
"ACT,BSAIS,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",PE112,"PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1)",2,GEN_ED,,1,1
"ACT,BSAIS,BSCA,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",NSTP113,"NATIONAL SERVICE TRAINING PROGRAM 1",3,GEN_ED,,1,1
"ACT,BSIS",IS-FIS123,"FUNDAMENTALS OF INFORMATION SYSTEMS",3,TECH_SKILL,,1,2
"ACT,BSIS",CC-CP2123,"COMPUTER PROGRAMMING 2 (INTERMEDIATE PROGRAMMING)",3,TECH_SKILL,,1,2
"ACT,BSIS",CT-OOP123,"OBJECT ORIENTED PROGRAMMING",3,TECH_SKILL,,1,2
"ACT,BSIS",AD-HCI123,"HUMAN COMPUTER INTERACTION",3,TECH_SKILL,,1,2
"ACT,BSIS",CT-WD123,"WEB DEVELOPMENT",3,TECH_SKILL,,1,2
"ACT,BSIS",GE-TCW123,"THE CONTEMPORARY WORLD",3,GEN_ED,,1,2
"ACT,BSAIS,BSIS,BSOM,BTVTEd-IAWT",PE122,"PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2)",2,GEN_ED,,1,2
"ACT,BSAIS,BSCA,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",NSTP123,"NATIONAL SERVICE TRAINING PROGRAM 2",3,GEN_ED,,1,2
"ACT,BSIS",CC-DSA213,"DATA STRUCTURES AND ALGORITHMS",3,TECH_SKILL,,2,1
"ACT,BSIS",CC-IM213,"INFORMATION MANAGEMENT",3,TECH_SKILL,,2,1
"ACT,BSIS",IS-DCN213,"DATA COMMUNICATION AND NETWORKING",3,TECH_SKILL,,2,1
"ACT,BSIS",CT-MAD213,"MOBILE APPLICATION DEVELOPMENT",3,TECH_SKILL,,2,1
"ACT,BSIS",CT-WA213,"WEB APPLICATION",3,TECH_SKILL,,2,1
"ACT,BSIS",GE-RLW213,"RIZAL'S LIFE AND WORKS",3,GEN_ED,,2,1
"ACT,BSIS",GE-STS213,"SCIENCE, TECHNOLOGY, AND SOCIETY (WITH INTEGRATION OF PEACE STUDIES)",3,GEN_ED,,2,1
"ACT,BSAIS,BSCA,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",PE212,"PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 3 - ARNIS (PATHFIT 3)",2,GEN_ED,,2,1
BSIS,IS-DMS223,"DEPLOYMENT, MAINTENANCE, AND SERVICES",3,TECH_SKILL,,2,2
BSIS,DM-HRM223,"HUMAN RESOURCE MANAGEMENT",3,GEN_ED,,2,2
BSIS,AD-PT223,"PRINCIPLES OF TEACHING",3,GEN_ED,,2,2
BSIS,GE-HUM223,ETHICS,3,GEN_ED,,2,2
BSIS,GE-SOC223,"GENERAL SOCIOLOGY (WITH GENDER AND DEVELOPMENT)",3,GEN_ED,,2,2
BSIS,GE-SCI223,"ENVIRONMENTAL SCIENCE",3,GEN_ED,,2,2
"ACT,BSIS",CC-ADET223,"APPLICATION DEVELOPMENT & EMERGING TECHNOLOGIES",3,TECH_SKILL,,2,2
"ACT,BSAIS,BSCA,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",PE222,"PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 4 - SPORTS (PATHFIT 4)",2,GEN_ED,,2,2
BSIS,IS-PMQ313,"PROJECT MANAGEMENT AND QUALITY SYSTEMS",3,TECH_SKILL,,3,1
BSIS,IS-SII313,"SYSTEM INFRASTRUCTURE AND INTEGRATION",3,TECH_SKILL,,3,1
BSIS,DMFM313,"FINANCIAL MANAGEMENT",3,GEN_ED,,3,1
BSIS,GE-FIL313,"KONTEKSTWALISADONG KOMUNIKASYON SA FILIPINO (KOKOFIL)",3,GEN_ED,,3,1
BSIS,HE-HUM313,"ART APPRECIATION",3,GEN_ED,,3,1
BSIS,AD-CSS313,"COMPUTER SYSTEMS SERVICING",3,TECH_SKILL,,3,1
BSIS,QUA-QM313,"QUANTITATIVE METHODS",3,CAP_OJT,,3,1
BSIS,IS-ISP323,"INFORMATION SYSTEMS PLANNING",3,TECH_SKILL,,3,2
BSIS,IS-SAD323,"SYSTEM ANALYSIS AND DESIGN",3,TECH_SKILL,,3,2
BSIS,AD-BA323,"BUSINESS ANALYTICS",3,TECH_SKILL,,3,2
BSIS,DM-BP323,"BUSINESS POLICY",3,TECH_SKILL,,3,2
BSIS,DM-EBP323,"EVALUATION OF BUSINESS PERFORMANCE",3,TECH_SKILL,,3,2
BSIS,GE-RPH323,"READINGS IN PHILIPPINE HISTORY (WITH INTEGRATION OF INDIGENOUS PEOPLE EDUCATION)",3,GEN_ED,,3,2
BSIS,GE-FIL323,"FILIPINO SA IBA'T-IBANG DISIPLINA (FILIPDIS)",3,GEN_ED,,3,2
BSIS,OJT416,"INTERNSHIP/OJT/PRACTICUM (500 HOURS)",6,CAP_OJT,,4,1
BSIS,IS-CAP1413,"CAPSTONE PROJECT 1",3,CAP_OJT,,4,1
BSIS,IS-CAP2423,"CAPSTONE PROJECT 2",3,CAP_OJT,,4,2
BSIS,AD-CRM423,"CUSTOMER RELATIONSHIP MANAGEMENT",3,TECH_SKILL,,4,2
ACT,GE-HUM223_58,ETHICS,3,GEN_ED,,1,1
ACT,CT-OJT226,"INTERNSHIP/OJT/PRACTICUM - ACT (320 HOURS)",3,CAP_OJT,,2,2
"BSCA,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT,BKP NCIII,CK NCII",PCOM113,"PURPOSIVE COMMUNICATION",3,GEN_ED,,1,1
"BSOM,BKP NCIII",ISA113,"INTEGRATED SOFTWARE APPLICATIONS 1 (COMPUTER W/ WINDOWS, MIS CONCEPTS, & DESKTOP PUBLISHING)",3,TECH_SKILL,,1,1
"BKP NCIII",ACCT116,"BASIC PRINCIPLE OF ACCOUNTING | ACCTG. FOR PARTNERSHIP & CORPORATION",6,TECH_SKILL,,1,1
"BKP NCIII",SIL123,"SUPERVISED INDUSTRY LEARNING",3,CAP_OJT,,1,2
"BSAIS,BSCA,BSOM",UNO113,"UNDERSTANDING ONESELF",3,GEN_ED,,1,1
"BSAIS,BSCA",RPH113,"READINGS IN PHILIPPINE HISTORY (WITH IP EDUCATION)",3,GEN_ED,,1,1
"BSAIS,BSCA",TCW113,"THE CONTEMPORARY WORLD",3,GEN_ED,,1,1
"BSAIS,BSCA",MMW113,"MATHEMATICS OF THE MODERN WORLD",3,GEN_ED,,1,1
BSAIS,FAR113,"FINANCIAL ACCOUNTING AND REPORTING",3,GEN_ED,,1,1
BSAIS,CBMEC113,"OPERATIONS MANAGEMENT AND TQM",3,GEN_ED,,1,1
BSAIS,MEC113,"MANAGERIAL ECONOMICS",3,GEN_ED,,1,1
"BSAIS,BSOM",PCOM123,"PURPOSIVE COMMUNICATION",3,GEN_ED,,1,2
"BSAIS,BSCA",AAP123,"ART APPRECIATION",3,GEN_ED,,1,2
BSAIS,STS123,"SCIENCE, TECHNOLOGY, AND SOCIETY (WITH INTEGRATION OF PEACE STUDIES)",3,GEN_ED,,1,2
BSAIS,CFAS123,"CONCEPTUAL FRAMEWORK AND ACCOUNTING STANDARD",3,GEN_ED,,1,2
BSAIS,CAC123,"COST ACCOUNTING AND CONTROL",3,GEN_ED,,1,2
BSAIS,LOC123,"LAW ON OBLIGATIONS AND CONTRACTS",3,GEN_ED,,1,2
BSAIS,EDEV123,"ECONOMIC DEVELOPMENT",3,GEN_ED,,1,2
BSAIS,BEL213,"BUSINESS ETHICS AND LEADERSHIP",3,GEN_ED,,2,1
BSAIS,RIZ213,"RIZAL'S LIFE AND WROKS (AS MANDATED BY LAW)",3,GEN_ED,,2,1
BSAIS,INAC213,"INTERMEDIATE ACCOUNTING 1",3,TECH_SKILL,,2,1
BSAIS,SCM213,"STRATEGIC COST MANAGEMENT",3,TECH_SKILL,,2,1
BSAIS,ITAX213,"INCOME TAXATION",3,GEN_ED,,2,1
BSAIS,BLR213,"BUSINESS LAWS AND REGULATIONS",3,GEN_ED,,2,1
BSAIS,FMKT213,"FINANCIAL MARKETS",3,TECH_SKILL,,2,1
BSAIS,FIL213,"PANITIKAN NG MGA UMUUNLAD NA BANSA",3,GEN_ED,,2,1
BSAIS,BLOG223,"GE ELECTIVE (BUSINESS LOGIC)",3,TECH_SKILL,,2,2
BSAIS,IAIS223,"INTRODUCTION TO ACCOUNTING INFORMATION SYSTEM",3,TECH_SKILL,,2,2
BSAIS,INAC223,"INTERMEDIATE ACCOUNTING 2",3,TECH_SKILL,,2,2
BSAIS,BTAX223,"BUSINESS TAXATION",3,GEN_ED,,2,2
BSAIS,FLIB223,"REGULATORY FRAMEWROK & LEGAL ISSUES IN BUSINESS",3,GEN_ED,,2,2
"BSAIS,BSCA",FMAN223,"FINANCIAL MANAGEMENT",3,GEN_ED,,2,2
BSAIS,MSCI223,"MANAGEMENT SCIENECE",3,GEN_ED,,2,2
BSAIS,FIL223,"KONTEKSTWALISADONG KOMUNIKASYON SA FILIPINO (KOKOFIL)",3,GEN_ED,,2,2
BSAIS,ISAD313,"INFORMATION SYSTEMS ANALYSIS AND DESIGN",3,TECH_SKILL,,3,1
BSAIS,PROM313,"PROJECT MANAGEMENT",3,TECH_SKILL,,3,1
BSAIS,ITAP313,"IT APPLICATION TOOLS IN BUSINESS",3,TECH_SKILL,,3,1
BSAIS,INAC313,"INTERMEDIATE ACCOUNTING 3",3,TECH_SKILL,,3,1
BSAIS,AREM313,"ACCOUNTING RESEARCH METHODS",3,CAP_OJT,,3,1
BSAIS,SBA313,"STRATEGIC BUSINESS ANALYSIS",3,TECH_SKILL,,3,1
BSAIS,SSP313,"SOCIAL SCIENCE AND PHILOSOPHY",3,GEN_ED,,3,1
BSAIS,FIL313,"FILIPINO SA IBA'T IBANG DISIPLINA",3,GEN_ED,,3,1
BSAIS,MIT323,"MANAGING INFORMATION AND TECHNOLOGY",3,TECH_SKILL,,3,2
BSAIS,ISOM323,"INFORMATION SYSTEMS OPERATIONS AND MAINTENANCE",3,TECH_SKILL,,3,2
BSAIS,ISM323,"INFORMATION SECURITY AND MANAGEMENT",3,TECH_SKILL,,3,2
BSAIS,SASA323,"STATISTICAL ANALYSIS WITH SOFTWARE APPPLICATION",3,TECH_SKILL,,3,2
BSAIS,IBT323,"INTERNATIONAL BUSINESS AND TRADE",3,GEN_ED,,3,2
BSAIS,GBER323,"GOVERNANCE, BUSINESS ETHICS, RISK MANAGEMENT & INTERNAL CONTROL",3,GEN_ED,,3,2
BSAIS,PEBA323,"PROFESSIONAL ELECTIVE (BUSINESS ANALYTICS)",3,GEN_ED,,3,2
BSAIS,OJT416_135,"ACCOUNTING INFORMATION SYSTEM INTERNSHIP",6,CAP_OJT,,4,1
BSAIS,AISR416,"ACCOUNTING INFORMATION SYSTEM RESEARCH",3,CAP_OJT,,4,1
BSAIS,HUM423,"ARTS, MAN, AND SOCIETY",3,GEN_ED,,4,2
BSAIS,DWM423,"DATA WAREHOUSING AND MANAGEMENT",3,TECH_SKILL,,4,2
BSAIS,MIS423,"MANAGEMENT INFORMATION SYSTEM",3,TECH_SKILL,,4,2
BSAIS,ERPM423,"ENTERPRISE RESOURCE PLANNING AND MANAGEMENT",3,GEN_ED,,4,2
BSAIS,CBMEC423,"STRATEGIC MANAGEMENT",3,TECH_SKILL,,4,2
BSAIS,PEFM423,"PROFESSIONAL ELECTIVE (FINANCIAL MODELING)",3,TECH_SKILL,,4,2
BSCA,ENT113,"ENTREPRENUERIAL BEHAVIOR AND COMPETENCIES",3,GEN_ED,,1,1
BSCA,PE112_149,"PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1)",2,GEN_ED,,1,1
BSCA,STS123_152,"SCIENCE, TECHNOLOGY, & SOCIETY",3,GEN_ED,,1,2
BSCA,SCM123,"INTRODUCTION TO SUPPLY CHAIN MANAGEMENT",3,TECH_SKILL,,1,2
BSCA,BSC123,"BORDER CONTROL & SECURITY",3,TECH_SKILL,,1,2
BSCA,CTM123,"FUNDAMENTALS OF CUSTOMS & TARIFF MANAGEMENT",3,TECH_SKILL,,1,2
BSCA,MST123,"ENVIRONMENTAL SCIENCE",3,GEN_ED,,1,2
BSCA,PE122_157,"PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 2 - EXERCISE-BASED FITNESS ACTIVITIES (PATHFIT 2)",2,GEN_ED,,1,2
BSCA,HUM213,ETHICS,3,GEN_ED,,2,1
BSCA,RIZ213_160,"RIZAL'S LIFE & WORKS",3,GEN_ED,,2,1
BSCA,WOM21,"WAREHOUSE OPERATION MANAGEMENT",3,TECH_SKILL,,2,1
BSCA,COC213,"CUSTOMS OPERATIONS & CARGO HANDLING",3,TECH_SKILL,,2,1
BSCA,CWG215,"CUSTOMS WAREHOUSING",5,TECH_SKILL,,2,1
BSCA,CCS213,"COMMODITY CLASSIFICATION SYSTEMS",3,TECH_SKILL,,2,1
BSCA,SSP223,"SOCIOLOGY WITH THE INTEGRATION OF PEACE STUDIES",3,GEN_ED,,2,2
BSCA,MST223,"IT APPLICATION TOOLS IN BUSINESS",3,TECH_SKILL,,2,2
BSCA,CVS223,"CUSTOMS VALUATION SYSTEM",3,TECH_SKILL,,2,2
BSCA,PIM223,"PROCUREMENT & INVENTORY MANAGEMENT",3,TECH_SKILL,,2,2
BSCA,CCE225,"CUSTOMS CLEARANCE",5,TECH_SKILL,,2,2
BSCA,CBMEC223,"STRATEGICS MANAGEMENT",3,GEN_ED,,3,1
BSCA,CAA315,"CUSTOMES APPRAISAL & ASSESSMENT",3,TECH_SKILL,,3,1
BSCA,TRM313,"TRANSPORTATION MANAGEMENT",3,TECH_SKILL,,3,1
BSCA,CPR315,"CUSTOMS PROCEEDING",5,TECH_SKILL,,3,1
BSCA,RES313,"RESEARCH 1 (CUSTOMS METHODS OF RESEARCH & THESIS PROPOSAL)",3,TECH_SKILL,,3,1
BSCA,IBT313,"INTERNATIONAL BUSINESS AND TRADE",3,TECH_SKILL,,3,1
BSCA,BLW323,"BUSINESS LAW (OBLIGATIONS & CONTRACTS)",3,GEN_ED,,3,2
BSCA,CAF325,"CUSTOMS POST CLEARANCE AUDIT FRAUD MANAGEMENT",5,TECH_SKILL,,3,2
BSCA,TLS325,"EXCISE TAXES, LIQUIDATION OF DUTY & SURCHARGES",5,TECH_SKILL,,3,2
BSCA,RES323,"RESEARCH 2 (CUSTOMS THESIS WRITING AND DEFENSE)",3,CAP_OJT,,3,2
BSCA,HBO323,"HUMAN BEHAVIOR IN ORGANIZATION",3,GEN_ED,,3,2
